5.488135039273247529e-01,4.686965760385239932e+00
1.851851851851854525e-02,9.849953763720989963e-01
9.814814814814813992e-01,7.667637216077792528e-02
1.851851851851854525e-02,6.549755408966147385e+00
6.172839506172866919e-03,6.737401113194462887e+00
6.172839506172866919e-03,6.737401113194462887e+00
7.962962962962962798e-01,8.273945561667288562e-01
6.851851851851851194e-01,2.498538133170591924e-01
6.172839506172866919e-03,3.897333263975600648e+00
4.629629629629629650e-01,4.064583633419765474e-01
6.172839506172866919e-03,3.897333263975600648e+00
9.814814814814813992e-01,9.846068565243399906e-01
6.172839506172866919e-03,3.897333263975600648e+00
3.395061728395061817e-01,5.373094271123546317e-01
9.814814814814813992e-01,6.109892840251955892e-01
1.666666666666666852e-01,6.957268698570376886e-01
1.296296296296296502e-01,7.469633644486700641e-01
6.172839506172866919e-03,6.956336727933321917e+00
1.851851851851854525e-02,6.838461427346000043e+00
1.851851851851854525e-02,6.838461427346000043e+00
9.074074074074074403e-01,1.171898568269152396e-01
